metric,mean_across_proteins,median_across_proteins,min_across_proteins,max_across_proteins
n_static_windows,2992.08,2758.0,581.0,6713.0
z_static_mean,-13.9932861884646,-14.016075051902973,-14.25016766733761,-13.646138470673367
z_static_median,-14.341281509399414,-14.356160163879395,-14.415430068969728,-14.203706741333008
z_static_std,1.3038563681065423,1.2495519264030395,0.5179212880607376,2.4114216346907034
z_static_q90,-13.380251964569092,-13.454585170745851,-13.875472831726077,-12.476375198364256
z_static_q95,-12.463850620269778,-12.601015663146974,-13.564613342285156,-10.487903404235846
z_static_q99,-8.021299359226226,-8.523469276428242,-12.280666828155518,-1.1442817831039154
z_static_max,3.914296828955412,4.165444016456604,-6.404041290283203,11.465508460998535
z_static_gt0_count,5.68,4.0,0.0,29.0
z_static_gt1_count,4.74,3.0,0.0,27.0
z_static_gt2_count,3.96,2.0,0.0,23.0
