C0	sigma0	n_fixed	pct_fixed	pct_redesignable	active_site_captured	active_site_total	cross_subunit_captured	cross_subunit_total	active_site_missed
0.0		301	100.0	0.0	15	15	7	7	[]
0.0	0.8	301	100.0	0.0	15	15	7	7	[]
0.0	0.9	301	100.0	0.0	15	15	7	7	[]
0.0	0.95	301	100.0	0.0	15	15	7	7	[]
0.25		233	77.4	22.6	15	15	7	7	[]
0.25	0.8	258	85.7	14.3	15	15	7	7	[]
0.25	0.9	243	80.7	19.3	15	15	7	7	[]
0.25	0.95	239	79.4	20.6	15	15	7	7	[]
0.35		184	61.1	38.9	15	15	7	7	[]
0.35	0.8	213	70.8	29.2	15	15	7	7	[]
0.35	0.9	197	65.4	34.6	15	15	7	7	[]
0.35	0.95	191	63.5	36.5	15	15	7	7	[]
0.5		122	40.5	59.5	15	15	7	7	[]
0.5	0.8	166	55.1	44.9	15	15	7	7	[]
0.5	0.9	142	47.2	52.8	15	15	7	7	[]
0.5	0.95	132	43.9	56.1	15	15	7	7	[]
0.65		64	21.3	78.7	12	15	5	7	[54, 55, 227]
0.65	0.8	121	40.2	59.8	12	15	5	7	[54, 55, 227]
0.65	0.9	93	30.9	69.1	12	15	5	7	[54, 55, 227]
0.65	0.95	79	26.2	73.8	12	15	5	7	[54, 55, 227]
