pred_id,design_id,order_name,tag,selection_tier,seq_len,startM,esmf2_iptm
q000,design_0593,O2_Q00511_0593__SRC_SAFETYV1_0401_N600__T01_R01__tet1.08_act0.56-0.73_l80.59-0.59-0.65_i0.514,nan,T2plus,301,True,0.5138091444969177
q001,design_0397,O2_Q00511_0397__SRC_SAFETYV1_0401_N600__T02__tet1.09_act0.55-0.74_l80.58-0.57-0.63_i0.499,nan,nan,302,False,0.4991547763347626
q002,design_0166,O2_Q00511_0166__SRC_SAFETYV1_0401_N600__T03__tet0.97_act0.46-0.68_l80.70-0.69-0.55_i0.507,nan,nan,302,False,0.5069607496261597
q003,design_0399,O2_Q00511_0399__SRC_SAFETYV1_0401_N600__T04_R02__tet0.96_act0.52-0.99_l80.46-0.46-0.59_i0.482,nan,nan,301,True,0.4817773699760437
q004,design_0051,O2_Q00511_0051__SRC_SAFETYV1_0401_N600__T05_R03__tet1.05_act0.54-0.79_l80.72-0.72-0.91_i0.519,nan,nan,302,False,0.518808126449585
q005,design_0391,O2_Q00511_0391__SRC_SAFETYV1_0401_N600__T06_R04__tet1.10_act0.59-0.95_l80.52-0.51-0.69_i0.506,nan,nan,301,True,0.5060862898826599
q006,design_0363,O2_Q00511_0363__SRC_SAFETYV1_0401_N600__T07__tet0.97_act0.55-0.86_l80.62-0.62-0.77_i0.478,nan,nan,301,True,0.4783266186714172
q007,design_0508,O2_Q00511_0508__SRC_SAFETYV1_0401_N600__T08__tet1.07_act0.57-0.79_l80.71-0.71-0.74_i0.479,nan,T2plus,302,False,0.4786565005779266
q008,design_0260,O2_Q00511_0260__SRC_SAFETYV1_0401_N600__T09__tet1.07_act0.40-0.67_l80.56-0.56-0.61_i0.460,nan,nan,301,True,0.4599159359931946
q009,design_0061,O2_Q00511_0061__SRC_SAFETYV1_0401_N600__T10_R05__tet1.42_act0.55-0.76_l80.60-0.60-0.82_i0.490,nan,nan,301,True,0.4902053773403168
q010,design_0322,O2_Q00511_0322__SRC_SAFETYV1_0401_N600__R06__tet1.14_act0.59-0.95_l80.73-0.73-0.70_i0.501,nan,nan,302,False,0.5014057755470276
q011,design_0000,O2_Q00511_0000__SRC_SAFETYV1_0401_N600__R07__tet1.31_act0.57-0.92_l80.68-0.68-0.89_i0.524,nan,nan,302,False,0.5239237546920776
q012,design_0310,O2_Q00511_0310__SRC_SAFETYV1_0401_N600__R08__tet1.02_act0.66-0.89_l80.58-0.58-0.68_i0.492,nan,nan,302,False,0.4917149841785431
q013,design_0445,O2_Q00511_0445__SRC_SAFETYV1_0401_N600__R09__tet1.14_act0.61-0.86_l80.69-0.69-0.80_i0.506,nan,nan,302,False,0.506388247013092
q014,design_0214,O2_Q00511_0214__SRC_SAFETYV1_0401_N600__R10__tet1.08_act0.55-0.78_l80.68-0.68-0.79_i0.485,nan,nan,301,True,0.4848607182502746
q015,design_0035,O2_Q00511_0035__SRC_SAFETYV1_0401_N600__R11__tet1.28_act0.66-0.87_l80.66-0.66-0.88_i0.493,nan,nan,301,True,0.4926541447639465
q016,design_0361,O2_Q00511_0361__SRC_SAFETYV1_0401_N600__R15__tet1.13_act0.37-0.67_l80.65-0.65-0.58_i0.469,nan,nan,302,False,0.4694003462791443
q017,design_0252,O2_Q00511_0252__SRC_SAFETYV1_0401_N600__R16__tet0.98_act0.49-0.90_l80.56-0.56-0.75_i0.469,nan,nan,301,True,0.469193160533905
q018,design_0355,O2_Q00511_0355__SRC_SAFETYV1_0401_N600__R17__tet1.00_act0.46-0.72_l80.62-0.62-0.61_i0.461,nan,nan,302,False,0.4613089561462402
q019,design_0026,O2_Q00511_0026__SRC_SAFETYV1_0401_N600__R18__tet1.04_act0.48-0.70_l80.63-0.63-0.66_i0.463,nan,nan,301,True,0.4626852571964264
q020,design_0481,nan,nan,T2plus,301,True,
q021,design_0223,nan,nan,T2plus,302,False,
q022,design_0011,nan,nan,T2plus,302,False,
q023,design_0046,nan,nan,T2plus,301,True,
q024,design_0459,nan,nan,T2plus,302,False,
q025,design_0580,nan,nan,T2plus,302,False,
q026,design_0220,nan,nan,T1,302,False,
q027,design_0289,nan,nan,T2plus,302,False,
q028,design_0307,nan,bad,T1,302,False,0.4394903779029846
