protein_id,n_windows,n_pos,auc,ap,recall_50,recall_100,seq_len,n_positives
F1KQ47,13139,1,0.6829806566238403,0.00024003841099329293,0.0,0.0,956,1
F1KQJ9,4865,1,0.6336348652839661,0.0005608525243587792,0.0,0.0,365,1
F1KS82,13573,1,0.9883583784103394,0.006289307959377766,0.0,0.0,987,1
F1L0R7,7231,2,0.8501867651939392,0.028242677450180054,0.5,0.5,534,2
F1L2I5,4977,4,0.9355016946792603,0.007382057141512632,0.0,0.0,373,4
F1L3I0,4697,1,0.9557070136070251,0.0047846888191998005,0.0,0.0,353,1
F1L8I9,5313,1,0.9992470145225525,0.20000000298023224,1.0,1.0,397,1
F1LD64,3255,1,0.9087277054786682,0.003355704713612795,0.0,0.0,250,1
F1LGC3,2499,1,0.8078462481498718,0.0020790020935237408,0.0,0.0,196,1
O00116,8967,1,0.999665379524231,0.25,1.0,1.0,658,1
O00481,6937,3,0.9996154308319092,0.6555555661519369,1.0,1.0,513,3
O00560,3927,5,0.7646608948707581,0.025741273164749147,0.2,0.2,298,5
O00602,4319,1,0.9990736246109009,0.20000000298023224,1.0,1.0,326,1
O14672,10227,1,0.998630940914154,0.06666667014360428,1.0,1.0,748,1
O43570,4711,1,0.9662420153617859,0.0062500000931322575,0.0,0.0,354,1
O60462,12789,8,0.9850070476531982,0.026871226727962494,0.0,0.25,931,8
O60784,6643,1,0.9996988773345947,0.3333333432674408,1.0,1.0,492,1
O75356,5747,1,1.0,1.0,1.0,1.0,428,1
O94886,11053,1,0.999909520149231,0.5,1.0,1.0,807,1
O95070,3857,1,0.8472510576248169,0.0016949152341112494,0.0,0.0,293,1
O95185,12789,1,0.9999217987060547,0.5,1.0,1.0,931,1
P00352,6769,9,0.994953989982605,0.15085678630405003,0.6666666666666666,1.0,501,9
P00747,11095,16,0.990759551525116,0.21838386356830597,0.625,0.6875,810,16
P01019,6419,6,0.9967253804206848,0.44108831882476807,0.6666666666666666,1.0,476,6
P01880,5775,2,0.9998267889022827,0.75,1.0,1.0,430,2
P02774,6391,1,1.0,1.0,1.0,1.0,474,1
P05164,10185,2,0.9668565392494202,0.046953797340393066,0.5,0.5,745,2
P05165,9947,3,0.9968155026435852,0.5104166666666666,0.6666666666666666,1.0,728,3
P06748,3871,4,0.9987716674804688,0.5560897588729858,1.0,1.0,294,4
P08579,2905,2,0.9929383397102356,0.2738095223903656,1.0,1.0,225,2
P09681,1897,1,0.9905063509941101,0.05263157933950424,1.0,1.0,153,1
P0DOX3,6923,1,1.0,1.0,1.0,1.0,512,1
P13667,8785,7,0.9997395873069763,0.7281135831560407,1.0,1.0,645,7
P14324,5621,3,0.9997033476829529,0.7916666666666666,1.0,1.0,419,3
P14923,10185,5,0.9989587664604187,0.31490583419799806,1.0,1.0,745,5
P15090,1603,6,0.9965560436248779,0.6210784117380778,1.0,1.0,132,6
P15144,13293,13,0.9826459884643555,0.3745927077073317,0.6923076923076923,0.8461538461538461,967,13
P17405,8589,1,0.9884722828865051,0.009999999776482582,0.0,1.0,631,1
P19835,10297,1,0.9962121248245239,0.02500000037252903,1.0,1.0,753,1
P21397,7133,1,0.9343802332878113,0.0021321962121874094,0.0,0.0,527,1
P21796,3717,4,0.9994613528251648,0.5250000357627869,1.0,1.0,283,4
P22102,13895,1,0.9992802739143372,0.09090909361839294,1.0,1.0,1010,1
P23946.1,3213,1,0.9993773102760315,0.3333333432674408,1.0,1.0,247,1
P25189,3227,2,0.9964340925216675,0.14761905372142792,1.0,1.0,248,2
P28070,3451,4,0.9970263838768005,0.3906745910644531,1.0,1.0,264,4
P28288,8981,1,0.9997772574424744,0.3333333432674408,1.0,1.0,659,1
P35443,13209,4,0.9988830089569092,0.6416666507720947,0.75,1.0,961,4
P35609,12271,2,0.9836580157279968,0.1274999976158142,0.5,0.5,894,2
P48304,2079,1,1.0,1.0,1.0,1.0,166,1
P50591,3689,2,0.9934906363487244,0.0793650820851326,1.0,1.0,281,2
P55286,10941,1,0.9997257590293884,0.25,1.0,1.0,799,1
P60174,3241,1,0.999691367149353,0.5,1.0,1.0,249,1
P60174.3,3759,1,0.9997339248657227,0.5,1.0,1.0,286,1
P61106,2765,4,0.9875045418739319,0.06569293141365051,0.75,1.0,215,4
P61769,1421,3,0.7811471819877625,0.021529744068781536,0.3333333333333333,0.3333333333333333,119,3
P80404,6755,1,0.9997038841247559,0.3333333432674408,1.0,1.0,500,1
P84243,1659,2,0.9996982216835022,0.8333333730697632,1.0,1.0,136,2
Q06141,2205,4,0.9149250388145447,0.01946573331952095,0.25,0.5,175,4
Q12999,2695,3,0.9982664585113525,0.2944444417953491,1.0,1.0,210,3
Q14624,12775,10,0.9697845578193665,0.03339903354644776,0.2,0.4,930,10
Q14721,11767,1,0.9993200898170471,0.1111111119389534,1.0,1.0,858,1
Q15738,4977,2,0.9980904459953308,0.1339285671710968,1.0,1.0,373,2
Q16647,6755,2,0.9913371801376343,0.13362069427967072,0.5,0.5,500,2
Q16695,1659,3,0.9913446307182312,0.1960784395535787,1.0,1.0,136,3
Q58FG1,5607,4,0.9987952709197998,0.4348776340484619,1.0,1.0,418,4
Q5QGZ9,3465,1,0.9988452792167664,0.20000000298023224,1.0,1.0,265,1
Q5W0Z9,4865,4,0.999742865562439,0.7928571105003357,1.0,1.0,365,4
Q6P9A2,8253,3,0.998424232006073,0.4122605323791504,1.0,1.0,607,3
Q7KZF4,12495,1,0.9988794326782227,0.06666667014360428,1.0,1.0,910,1
Q8IV08,6615,5,0.9933434128761292,0.1612226963043213,0.6,0.8,490,5
Q8IXB1,10857,1,0.9990788698196411,0.09090909361839294,1.0,1.0,793,1
Q8IXQ6,11711,11,0.9847707748413086,0.30922566760670056,0.7272727272727273,0.7272727272727273,854,11
Q8N187,9905,1,0.9685985445976257,0.0032051282469183207,0.0,0.0,725,1
Q8WTV0,7483,1,0.9966586232185364,0.03846153989434242,1.0,1.0,552,1
Q8WW52,7945,1,1.0,1.0,1.0,1.0,585,1
Q96PL1,1057,1,0.9971590638160706,0.25,1.0,1.0,93,1
Q96QD8,6839,6,0.9817308187484741,0.030882219473520916,0.3333333333333333,0.5,506,6
Q9BTU6,6461,2,0.9873045086860657,0.01773383468389511,0.0,0.5,479,2
Q9BZE2,6489,1,0.8247534036636353,0.0008787346305325627,0.0,0.0,481,1
Q9C0C4,11417,2,0.9982041120529175,0.19105690717697144,1.0,1.0,833,2
Q9H2W1,3227,4,0.9821594953536987,0.06698338687419891,0.5,0.75,248,4
Q9H7X7,2345,2,0.9942381381988525,0.11490683257579803,1.0,1.0,185,2
