protein_id,sequence_length,n_static_windows,window_k_min,window_k_max,z_static_mean,z_static_median,z_static_std,z_static_q90,z_static_q95,z_static_q99,z_static_max,z_static_gt0_count,z_static_gt1_count,z_static_gt2_count,tier
1EYB_A,419,5621,12,25,-14.11576242386245,-14.395947456359863,1.1608880967484034,-13.670608520507812,-12.990549087524414,-9.446582031249973,6.779644966125488,8,8,7,1
1LI1_C,224,2891,12,25,-14.007668286129002,-14.369284629821777,1.712028914533292,-13.579672813415527,-12.955373764038086,-5.819833612442049,10.643143653869629,13,12,11,1
1O51_A,89,1001,12,25,-14.224829592785754,-14.415430068969727,0.8051730057218711,-13.803047180175781,-13.407392501831055,-11.892315864562988,-1.7895941734313965,0,0,0,2
1PXZ_B,346,4599,12,25,-14.002443251479681,-14.359869956970215,1.3268553738799773,-13.369416046142579,-12.439874076843264,-8.348736782074058,5.424182891845703,8,6,4,2
1QU9_A,127,1533,12,25,-13.939053938171869,-14.324962615966797,1.394641846090564,-13.274346351623535,-12.38622188568116,-8.319763717651348,4.4378814697265625,3,1,1,2
1TX4_A,196,2499,12,25,-14.055196659503078,-14.356921195983887,1.0089470484570593,-13.455828666687012,-12.603541278839113,-9.512514438629154,0.12297540158033371,1,0,0,1
1U6T_A,121,1449,12,25,-14.19335110850627,-14.359508514404297,0.6195009540398753,-13.752480125427246,-13.337256050109863,-11.544492263793948,-6.404041290283203,0,0,0,1
1UOU_A,438,5887,12,25,-14.113488324114355,-14.363248825073242,1.0289932043645682,-13.636927604675291,-13.001476287841797,-10.161474571228018,3.859625816345215,6,4,3,1
1USN_A,165,2065,12,25,-14.063361091446357,-14.364230155944824,1.2192495414869309,-13.607217788696289,-12.774150466918947,-8.641340942382842,1.487326979637146,4,3,0,2
1WZE_B,327,4333,12,25,-13.910379032224602,-14.343941688537598,1.7763297502296387,-13.367955970764159,-12.221806907653816,-5.352865886688232,11.465508460998535,20,17,13,2
1ZR3_A,186,2359,12,25,-13.80134632019938,-14.28820514678955,1.610398121693805,-12.89924602508545,-11.594047832489016,-5.417005128860445,2.166066884994507,3,2,1,1
2ERF_A,209,2681,12,25,-13.916595520267554,-14.31790828704834,1.517668330813651,-13.25439739227295,-12.388899803161621,-6.160695743560832,5.547396659851074,7,5,4,1
2F7A_A,228,2947,12,25,-14.109312651154951,-14.370468139648438,0.9122174234671425,-13.544435310363768,-13.00798683166504,-9.739760589599614,-3.1031858921051025,0,0,0,2
2O4T_A,90,1015,12,25,-14.12432677311263,-14.387743949890137,0.9303179848723477,-13.622697257995606,-12.902794456481935,-9.304446907043456,-4.180881023406982,0,0,0,2
2VXP_A,131,1589,12,25,-14.176515467291436,-14.368647575378418,0.9444002656830873,-13.754366874694824,-13.420612144470216,-11.596869850158708,8.008801460266113,2,2,2,1
3CYQ_D,132,1603,12,25,-13.646138470673367,-14.313180923461914,2.279538174819503,-12.476375198364257,-10.487903404235846,-1.5836928176879848,9.10102367401123,11,11,10,2
3IEZ_B,95,1085,12,25,-13.982009956693869,-14.294084548950195,0.9409822414090057,-13.11019344329834,-12.320463371276855,-10.065290412902815,-2.9529709815979004,0,0,0,2
3Q80_B,218,2807,12,25,-13.849800561835089,-14.298139572143555,1.5746536083843712,-12.98173942565918,-11.816556644439698,-6.766326465606685,8.237826347351074,8,7,5,2
3TYX_A,335,4445,12,25,-13.991389041164778,-14.36471939086914,1.54306005468624,-13.47607364654541,-12.594132614135741,-7.050385875701883,10.406442642211914,11,11,10,2
4AC2_A,115,1365,12,25,-13.801515808537767,-14.281859397888184,1.7327121004845139,-13.047586059570312,-11.503341865539552,-6.911006641387982,10.218965530395508,4,3,3,2
