protein_id,arm,tier,n_designs,burden_all,burden_tier2,nod_pp_hotspot_coverage,nod_hotspot_coverage_mean,d3_hotspot_coverage_mean,delta_hotspot_coverage_mean,delta_hotspot_coverage_median,hotspot_coverage_improved_designs,nod_n_hotspot_positions_mean,d3_n_hotspot_positions_mean,delta_n_hotspot_positions_mean,delta_n_hotspot_positions_median,n_hotspot_positions_improved_designs,nod_mean_hotspot_mean,d3_mean_hotspot_mean,delta_mean_hotspot_mean,delta_mean_hotspot_median,mean_hotspot_improved_designs,nod_max_hotspot_mean,d3_max_hotspot_mean,delta_max_hotspot_mean,delta_max_hotspot_median,max_hotspot_improved_designs,nod_n_strong_binders_mean,d3_n_strong_binders_mean,delta_n_strong_binders_mean,delta_n_strong_binders_median,n_strong_binders_improved_designs,nod_strong_per_100aa_mean,d3_strong_per_100aa_mean,delta_strong_per_100aa_mean,delta_strong_per_100aa_median,strong_per_100aa_improved_designs,nod_mean_best_rank_mean,d3_mean_best_rank_mean,delta_mean_best_rank_mean,delta_mean_best_rank_median,mean_best_rank_improved_designs,nod_scTM_mean,d3_scTM_mean,delta_scTM_mean,delta_scTM_median,scTM_improved_designs,nod_bb_RMSD_mean,d3_bb_RMSD_mean,delta_bb_RMSD_mean,delta_bb_RMSD_median,bb_RMSD_improved_designs,nod_recovery_mean,d3_recovery_mean,delta_recovery_mean,delta_recovery_median,recovery_improved_designs,hotspot_coverage_over_intervention_designs,scTM_preserved_designs_delta_ge_minus_0p05,scTM_drop_designs_delta_lt_minus_0p05
1EYB_A,t060,1,8,low_or_equal,not_tier2,0.29982100238663484,0.2998210023866349,0.3568019093078759,0.05698090692124105,0.0441527446300716,1,125.625,149.5,23.875,18.5,1,1.0069113820791245,1.7449829503893852,0.7380715683102608,0.614987850189209,2,9.89381718635559,16.498815059661865,6.604997873306274,8.577619075775146,2,31.125,61.75,30.625,33.0,2,7.428400954653938,14.737470167064437,7.309069212410501,7.875894988066827,2,0.64475,0.14575,-0.499,-0.511,7,0.8321075,0.8439049999999999,0.011797500000000002,0.007205000000000017,7,3.13,2.96375,-0.1662499999999999,-0.1399999999999999,7,0.5453460620525059,0.5349045346062052,-0.01044152744630071,-0.0035799522673031214,3,5,8,0
1LI1_C,t060,1,8,low_or_equal,not_tier2,0.3370535714285714,0.3370535714285714,0.3325892857142857,-0.004464285714285705,-0.015625,5,75.5,74.5,-1.0,-3.5,5,0.9852523393929005,1.0664054341614246,0.08115309476852417,-0.03705170750617981,4,6.983579635620117,7.95875871181488,0.9751790761947632,-0.3454623222351074,4,11.875,9.5,-2.375,-2.5,4,5.301339285714286,4.241071428571429,-1.0602678571428572,-1.1160714285714286,4,1.117,1.794,0.677,-0.039000000000000035,4,0.93289,0.94194,0.009050000000000016,0.013500000000000012,5,1.61375,1.56875,-0.04500000000000001,-0.09000000000000008,5,0.5206473214285714,0.5011160714285715,-0.01953124999999998,-0.02678571428571422,2,3,8,0
1O51_A,t060,2,8,low_or_equal,low_or_equal,0.28230337078651685,0.2823033707865168,0.3651685393258427,0.08286516853932585,0.08426966292134833,2,25.125,32.5,7.375,7.5,2,1.7781449743488338,1.6879024673253298,-0.090242507023504,0.17033870669547468,4,9.90088140964508,10.21901535987854,0.3181339502334595,-1.2656311988830566,4,10.25,17.375,7.125,2.5,2,11.516853932584269,19.522471910112362,8.005617977528091,2.8089887640449436,2,2.30025,1.27175,-1.0285000000000002,-0.7000000000000001,6,0.83979875,0.862705,0.02290624999999999,0.001664999999999972,5,1.7325,1.6,-0.13249999999999995,0.10499999999999998,3,0.476123595505618,0.4536516853932584,-0.022471910112359536,-0.01685393258426962,2,4,8,0
1PXZ_B,t060,2,8,high,high,0.4136560693641618,0.4136560693641619,0.4165462427745664,0.002890173410404616,0.0014450867052023253,4,143.125,144.125,1.0,0.5,4,1.8115372359752655,2.4103181064128876,0.5987808704376221,0.6910229921340942,3,15.765440940856934,18.00931978225708,2.2438788414001465,3.1808652877807617,3,71.125,84.625,13.5,1.0,4,20.55635838150289,24.45809248554913,3.9017341040462434,0.2890173410404602,4,0.24575000000000002,0.1865,-0.05925,-0.02800000000000001,4,0.90663625,0.90141875,-0.0052175,-0.009094999999999964,3,2.34,2.2649999999999997,-0.0750000000000001,-0.05500000000000016,5,0.613800578034682,0.6177745664739884,0.003973988439306367,0.00867052023121384,5,4,8,0
1QU9_A,t060,2,8,high,high,0.38976377952755903,0.38976377952755903,0.4173228346456693,0.027559055118110243,0.003937007874015741,4,49.5,53.0,3.5,0.5,4,1.4068284016102552,1.279869332909584,-0.1269590687006712,0.06997311115264893,4,8.77700561285019,9.05517578125,0.2781701683998108,0.40070533752441406,4,19.75,18.0,-1.75,-6.0,5,15.551181102362207,14.173228346456693,-1.3779527559055134,-4.724409448818898,5,0.9802500000000001,0.764,-0.21625000000000003,-0.128,5,0.97648,0.9779375,0.0014574999999999866,0.0007999999999999674,4,0.54625,0.5237499999999999,-0.022500000000000027,-0.015000000000000013,4,0.719488188976378,0.7106299212598426,-0.008858267716535431,-0.01574803149606302,2,4,8,0
1TX4_A,t060,1,8,low_or_equal,not_tier2,0.319515306122449,0.319515306122449,0.31058673469387754,-0.008928571428571432,0.03826530612244897,3,62.625,60.875,-1.75,7.5,3,1.6982634663581848,1.5470153391361237,-0.15124812722206116,-0.052651941776275635,4,11.65497750043869,11.21252965927124,-0.44244784116744995,-1.2549426555633545,5,32.0,30.25,-1.75,2.5,4,16.326530612244895,15.433673469387754,-0.8928571428571432,1.275510204081633,4,0.45625,0.7437500000000001,0.2875,0.04599999999999996,4,0.97536125,0.977765,0.002403749999999996,0.0014399999999999968,6,0.9549999999999998,0.84125,-0.11374999999999996,-0.06499999999999995,6,0.5542091836734694,0.5701530612244898,0.01594387755102042,0.02551020408163268,5,5,8,0
1U6T_A,t060,1,8,low_or_equal,not_tier2,0.2830578512396694,0.2830578512396694,0.2634297520661157,-0.019628099173553713,-0.008264462809917356,4,34.25,31.875,-2.375,-1.0,4,0.9597452888265252,0.776070635067299,-0.1836746537592262,-0.2648018142208457,5,5.662807583808899,5.116713881492615,-0.5460937023162842,-0.4350900650024414,5,2.625,6.375,3.75,0.5,2,2.169421487603306,5.268595041322315,3.099173553719009,0.4132231404958678,2,2.55375,1.836,-0.7177500000000001,-0.8300000000000001,5,0.9216387500000001,0.9111325000000001,-0.010506249999999995,0.014610000000000012,5,1.3849999999999998,1.35375,-0.031249999999999944,-0.19999999999999996,5,0.5185950413223139,0.5392561983471074,0.02066115702479341,0.02066115702479343,7,4,5,3
1UOU_A,t060,1,8,low_or_equal,not_tier2,0.3242009132420091,0.32420091324200917,0.29337899543379,-0.030821917808219173,-0.0273972602739726,5,142.0,128.5,-13.5,-12.0,5,0.8927857503294945,1.25282758846879,0.3600418381392956,0.5681415796279907,2,7.154418706893921,10.288317203521729,3.1338984966278076,3.377472400665283,1,36.75,46.875,10.125,15.5,3,8.39041095890411,10.702054794520548,2.311643835616438,3.5388127853881275,3,0.5235,0.34775,-0.17575000000000002,-0.14399999999999996,6,0.9606475,0.952705,-0.007942500000000005,-0.007359999999999978,2,1.5812499999999998,1.78375,0.20250000000000004,0.18999999999999995,2,0.6464041095890412,0.6435502283105023,-0.0028538812785388196,-0.005707762557077611,2,3,8,0
1USN_A,t060,2,8,low_or_equal,low_or_equal,0.3628787878787879,0.3628787878787879,0.3318181818181818,-0.03106060606060607,0.006060606060606058,4,59.875,54.75,-5.125,1.0,4,1.4882610440254211,0.8165598530322313,-0.6717011909931898,-0.7834584712982178,6,9.206823945045471,6.911838412284851,-2.29498553276062,-1.7741451263427734,5,35.625,7.5,-28.125,-12.0,7,21.59090909090909,4.545454545454545,-17.045454545454543,-7.272727272727272,7,0.7205,1.468,0.7475,0.4030000000000001,3,0.94853375,0.94702375,-0.0015100000000000113,-0.005444999999999978,3,1.31875,1.3025,-0.01625000000000007,0.07499999999999996,3,0.6378787878787878,0.6507575757575759,0.012878787878787906,0.00909090909090915,5,4,8,0
1WZE_B,t060,2,8,high,high,0.3857033639143731,0.3857033639143731,0.42087155963302747,0.03516819571865444,0.03669724770642202,2,126.125,137.625,11.5,12.0,2,2.043499916791916,2.216102808713913,0.17260289192199707,0.37529683113098145,3,18.501084089279175,18.97862410545349,0.4775400161743164,0.8441524505615234,4,98.375,90.125,-8.25,-20.0,4,30.084097859327215,27.5611620795107,-2.522935779816514,-6.116207951070338,4,0.05,0.07300000000000001,0.022999999999999996,0.012000000000000007,3,0.98439,0.9819862500000001,-0.0024037499999999823,-0.0021900000000000253,1,0.88125,0.9537500000000001,0.07250000000000004,0.07000000000000006,2,0.7400611620795107,0.7396788990825687,-0.0003822629969418845,-0.00917431192660545,3,6,8,0
