protein_id,n_mutations,n_pos_spans,delta_z_mean,delta_z_std,delta_z_abs_p90,delta_z_sign_balance,encoder_id
F1KQJ9,1900,1,-0.010597966611385345,0.16208991408348083,0.18469905853271484,0.4831578947368421,E0
F1L0R7,1900,2,-0.011386706493794918,0.07688936591148376,0.10290040820837021,0.3894736842105263,E0
F1L3I0,1900,1,-0.005687228869646788,0.14581482112407684,0.1342017948627472,0.46473684210526317,E0
F1L8I9,1900,1,-0.028255123645067215,0.1406569629907608,0.15521813929080963,0.3857894736842105,E0
F1LD64,1900,1,-0.0770430713891983,0.350418359041214,0.37808462977409363,0.3563157894736842,E0
F1LGC3,1900,1,-0.028502140194177628,0.45012059807777405,0.4913049638271332,0.41736842105263156,E0
O00481,1900,3,-0.0069323088973760605,0.043974097818136215,0.04788327217102051,0.4180701754385965,E0
O00560,1900,5,-0.016168218106031418,0.184835746884346,0.17383822798728943,0.4302105263157895,E0
O14672,1900,1,-0.00010636078513925895,0.007816189900040627,0.009958887472748756,0.5194736842105263,E0
O43570,1900,1,-0.02094276063144207,0.14374415576457977,0.10252571105957031,0.46473684210526317,E0
O94886,1900,1,-0.003271664259955287,0.06473012268543243,0.05461909621953964,0.5,E0
O95070,1900,1,-0.001812116475775838,0.23070840537548065,0.18793907761573792,0.4110526315789474,E0
O95185,1900,1,-0.03964696452021599,0.2699141502380371,0.04630780220031738,0.38052631578947366,E0
P00352,1900,9,-0.031147688627243042,0.16708363592624664,0.10679757595062256,0.3612280701754386,E0
P01019,1900,6,-0.010350707918405533,0.23296429216861725,0.2040008008480072,0.4641228070175439,E0
P01880,1900,2,-0.0006775996298529208,0.16971105337142944,0.1581411063671112,0.42236842105263156,E0
P05164,1900,2,-0.014988971874117851,0.16139136254787445,0.08603741973638535,0.45342105263157895,E0
P05165,1900,3,-0.007626417092978954,0.12066829204559326,0.08750863373279572,0.4980701754385965,E0
P08579,1900,2,-0.08047661930322647,0.26315104961395264,0.43077439069747925,0.36,E0
P09681,1900,1,-0.0012306502321735024,0.22565504908561707,0.31273531913757324,0.5305263157894737,E0
P14324,1900,3,-0.040360741317272186,0.23892304301261902,0.17499183118343353,0.34719298245614033,E0
P15144,1900,13,-0.007615006063133478,0.11209707707166672,0.04544975236058235,0.4517408906882591,E0
P19835,1900,1,-0.04105387628078461,0.22022709250450134,0.08512480556964874,0.43105263157894735,E0
P25189,1900,2,-0.03225140646100044,0.18650925159454346,0.2135227769613266,0.42657894736842106,E0
P28288,1900,1,-0.018678994849324226,0.12905625998973846,0.09314374625682831,0.4589473684210526,E0
P35443,1900,4,-0.008279354311525822,0.20771384239196777,0.08050636947154999,0.48355263157894735,E0
P35609,1900,2,-0.006568645592778921,0.09693533182144165,0.08436289429664612,0.4686842105263158,E0
P48304,1900,1,0.015258154831826687,0.38224440813064575,0.5575283169746399,0.5126315789473684,E0
P50591,1900,2,-0.01131477952003479,0.11473186314105988,0.13259084522724152,0.4602631578947368,E0
P61106,1900,4,-0.028278257697820663,0.2257203459739685,0.2811119556427002,0.455,E0
P84243,1900,2,-0.08334735780954361,0.4064187705516815,0.5684263706207275,0.4518421052631579,E0
Q12999,1900,3,-0.05218908563256264,0.3252626359462738,0.42359569668769836,0.4850877192982456,E0
Q14624,1900,10,-0.004443925339728594,0.12709254026412964,0.06655856221914291,0.466,E0
Q5QGZ9,1900,1,-0.026171596720814705,0.3854357600212097,0.35269758105278015,0.45421052631578945,E0
Q6P9A2,1900,3,-0.018778029829263687,0.10564417392015457,0.0864134281873703,0.40228070175438596,E0
Q8IV08,1900,5,-0.01462586410343647,0.09171204268932343,0.08665311336517334,0.3626315789473684,E0
Q8IXB1,1900,1,0.0010455588344484568,0.2171781063079834,0.14639922976493835,0.43842105263157893,E0
Q8IXQ6,1900,11,0.0008655599085614085,0.09591768682003021,0.059244729578495026,0.503444976076555,E0
