protein_id,arm,tier,n_designs,burden_all,burden_tier2,nod_hotspot_q90_mean,d3_hotspot_q90_mean,delta_hotspot_q90_mean,hotspot_q90_improved_designs,nod_hotspot_q95_mean,d3_hotspot_q95_mean,delta_hotspot_q95_mean,hotspot_q95_improved_designs,nod_hotspot_q99_mean,d3_hotspot_q99_mean,delta_hotspot_q99_mean,hotspot_q99_improved_designs,nod_hotspot_max_mean,d3_hotspot_max_mean,delta_hotspot_max_mean,hotspot_max_improved_designs,nod_hotspot_gt0p5_count_mean,d3_hotspot_gt0p5_count_mean,delta_hotspot_gt0p5_count_mean,hotspot_gt0p5_count_improved_designs,nod_hotspot_gt1_count_mean,d3_hotspot_gt1_count_mean,delta_hotspot_gt1_count_mean,hotspot_gt1_count_improved_designs,nod_hotspot_positive_mass_mean,d3_hotspot_positive_mass_mean,delta_hotspot_positive_mass_mean,hotspot_positive_mass_improved_designs,nod_hotspot_excess_mass_gt0p5_mean,d3_hotspot_excess_mass_gt0p5_mean,delta_hotspot_excess_mass_gt0p5_mean,hotspot_excess_mass_gt0p5_improved_designs,nod_positive_mass_top10_fraction_mean,d3_positive_mass_top10_fraction_mean,delta_positive_mass_top10_fraction_mean,positive_mass_top10_fraction_improved_designs,nod_positive_mass_entropy_norm_mean,d3_positive_mass_entropy_norm_mean,delta_positive_mass_entropy_norm_mean,positive_mass_entropy_norm_improved_designs,nod_positive_mass_gini_mean,d3_positive_mass_gini_mean,delta_positive_mass_gini_mean,positive_mass_gini_improved_designs,nod_residue_z_q95_mean,d3_residue_z_q95_mean,delta_residue_z_q95_mean,residue_z_q95_improved_designs,nod_residue_z_max_mean,d3_residue_z_max_mean,delta_residue_z_max_mean,residue_z_max_improved_designs,nod_residue_z_gt1_count_mean,d3_residue_z_gt1_count_mean,delta_residue_z_gt1_count_mean,residue_z_gt1_count_improved_designs,nod_residue_z_gt2_count_mean,d3_residue_z_gt2_count_mean,delta_residue_z_gt2_count_mean,residue_z_gt2_count_improved_designs
1EYB_A,t060,1,8,low_or_equal,not_tier2,3.7990484595298764,5.43494188785553,1.6358934283256532,2,5.136127829551695,10.48993147611618,5.353803646564486,1,9.811054170131683,16.49347290158272,6.682418731451035,2,9.89381718635559,16.498815059661865,6.604997873306274,2,125.625,149.5,23.875,1,100.375,120.0,19.625,3,462.36911153793335,788.5141440629959,326.14503252506256,2,386.3488790988922,702.6302434206009,316.2813643217087,2,0.6225105855411,0.6352674337298654,0.012756848188765407,4,0.7686155875294791,0.7675881494909739,-0.0010274380385052323,5,0.8050435420819735,0.8034740220959273,-0.0015695199860462916,5,1.8417911550679946,2.045759361518941,0.2039682064509467,2,3.782577241849453,3.9294490011009784,0.14687175925152485,3,48.125,41.75,-6.375,5,23.875,26.5,2.625,3
1LI1_C,t060,1,8,low_or_equal,not_tier2,4.780724477767961,3.602632164955139,-1.1780923128128211,6,6.4234073758125305,6.973801830410956,0.5503944545984256,4,6.756250245571136,7.509876044392587,0.7536257988214496,5,6.983579635620117,7.95875871181488,0.9751790761947632,4,75.5,74.5,-1.0,5,60.0,58.625,-1.375,5,252.27593272924423,261.8727915287018,9.59685879945755,4,207.5535187125206,219.7271522283554,12.173633515834808,4,0.5620433406681078,0.5559795474706933,-0.0060637931974143675,4,0.7759292755264956,0.7663749698970083,-0.009554305629487392,4,0.7665838435782127,0.7699964831120374,0.0034126395338247573,4,2.596029922577181,2.6032710639984993,0.007241141421317848,4,2.8116507209476014,3.2553839516531538,0.4437332307055524,3,33.0,38.125,5.125,3,20.875,16.625,-4.25,6
1O51_A,t060,2,8,low_or_equal,low_or_equal,8.526016426086427,8.613878309726715,0.08786188364028918,4,8.909613919258117,8.993356990814208,0.08374307155609118,4,9.543938241004946,9.747831020355227,0.20389277935028105,4,9.90088140964508,10.21901535987854,0.3181339502334595,4,25.125,32.5,7.375,2,21.5,27.75,6.25,4,175.7261821627617,188.8209102153778,13.09472805261612,4,160.63975793123245,170.89457738399506,10.254819452762604,4,0.4990755623601878,0.4451896525670106,-0.05388590979317723,7,0.7160793513423342,0.7373440915867306,0.02126474024439623,3,0.7612016204325995,0.7296610822504599,-0.03154053818213981,5,2.060197823232965,1.9115161312444218,-0.14868169198854297,6,2.550705635335245,2.3822571117332956,-0.16844852360195,3,16.0,19.5,3.5,0,7.25,5.5,-1.75,3
1PXZ_B,t060,2,8,high,high,6.134550243616104,9.673369377851486,3.538819134235382,2,11.785043209791183,13.369853988289833,1.5848107784986496,3,14.974603521823886,17.400933837890626,2.4263303160667418,3,15.765440940856934,18.00931978225708,2.2438788414001465,3,143.125,144.125,1.0,4,129.5,123.25,-6.25,4,763.1967834830284,965.8958404660225,202.69905698299408,3,685.376856982708,888.13606351614,202.759206533432,3,0.548757921219813,0.539968018769161,-0.008789902450651907,4,0.7995788138113133,0.7950271012867917,-0.004551712524521759,4,0.7571332224838155,0.7584950717306389,0.0013618492468233656,4,2.413717324050565,2.155636716969384,-0.2580806070811812,5,3.4591335735438813,3.202928005378519,-0.25620556816536233,4,44.5,48.125,3.625,2,24.0,20.75,-3.25,5
1QU9_A,t060,2,8,high,high,8.746158242225647,8.244416701793671,-0.5017415404319763,4,8.747638553380966,8.416590511798859,-0.3310480415821083,4,8.762793850898744,8.837989213466644,0.0751953625679006,4,8.77700561285019,9.05517578125,0.2781701683998108,4,49.5,53.0,3.5,4,42.0,47.25,5.25,5,261.1126415133476,259.711631834507,-1.4010096788406372,5,233.71952778100967,231.15039056539536,-2.569137215614319,5,0.4487042907211791,0.4231421041920012,-0.025562186529177938,4,0.7759499697909111,0.7805203420773827,0.0045703722864714885,5,0.7238871546415871,0.7071994381004351,-0.016687716541152142,4,2.031601863593062,1.875285597325541,-0.1563162662675209,4,2.041262766746912,2.07532306517305,0.03406029842613867,3,20.625,27.25,6.625,0,10.125,8.625,-1.5,4
1TX4_A,t060,1,8,low_or_equal,not_tier2,7.647475570440292,6.590728163719177,-1.0567474067211151,3,11.58411429822445,11.210341081023216,-0.3737732172012329,5,11.63305360376835,11.212365886569025,-0.4206877171993255,5,11.65497750043869,11.21252965927124,-0.44244784116744995,5,62.625,60.875,-1.75,3,50.875,52.375,1.5,4,377.12721341848373,336.58164632320404,-40.545567095279694,4,339.58351343870163,299.6446132659912,-39.93890017271042,4,0.6127541729736607,0.622055372732354,0.00930119975869334,5,0.7366252528939116,0.7384283278929131,0.0018030749990015499,3,0.7950074161016454,0.7990269973420294,0.0040195812403841236,5,2.6141109183630644,2.8153094864997614,0.20119856813669668,4,2.630610259675155,2.816457028427263,0.18584676875210873,5,29.125,27.75,-1.375,5,17.75,17.125,-0.625,4
1U6T_A,t060,1,8,low_or_equal,not_tier2,4.829574227333069,4.322282552719116,-0.5072916746139526,4,4.9815263748168945,4.477476954460144,-0.5040494203567505,4,5.370751333236694,4.8687948346138,-0.5019564986228944,4,5.662807583808899,5.116713881492615,-0.5460937023162842,5,34.25,31.875,-2.375,4,25.875,20.375,-5.5,3,129.30173474550247,107.26004630327225,-22.041688442230225,5,107.75860124826431,86.33015555143356,-21.42844569683075,4,0.48077832100092377,0.5442020461806157,0.06342372517969197,1,0.7614781814240689,0.7456099862324749,-0.01586819519159395,7,0.7323043127656473,0.7615570259930325,0.029252713227385152,1,1.9125858432241456,2.1055470080688643,0.19296116484471856,3,2.961299168423809,3.1036442171222247,0.14234504869841594,2,24.375,18.375,-6.0,6,7.75,11.5,3.75,4
1UOU_A,t060,1,8,low_or_equal,not_tier2,2.941618096828461,5.174350351095201,2.2327322542667405,2,5.821008780598638,7.864768517017365,2.043759736418726,2,7.098428460359574,10.27616935968399,3.1777408993244176,1,7.154418706893921,10.288317203521729,3.1338984966278076,1,142.0,128.5,-13.5,5,110.625,99.375,-11.25,5,437.2568436861038,601.08887809515,163.83203440904617,2,349.1705894470215,520.4112203717232,171.2406309247017,2,0.5568870637782422,0.6099061937300508,0.05301912995180869,3,0.7976222054494186,0.774926734027219,-0.02269547142219963,5,0.7701957402720929,0.8008235504692819,0.030627810197189048,3,2.633598598045328,2.40093079806344,-0.23266779998188775,3,3.3285386811993045,3.2898401015776373,-0.03869857962166717,5,61.125,65.75,4.625,3,30.625,31.0,0.375,3
1USN_A,t060,2,8,low_or_equal,low_or_equal,7.125605833530424,4.3974389076232905,-2.728166925907133,6,8.349243474006652,5.323700213432311,-3.0255432605743415,6,8.76439405441284,6.157604506015773,-2.606789548397066,6,9.206823945045471,6.911838412284851,-2.29498553276062,5,59.875,54.75,-5.125,4,55.375,38.875,-16.5,6,288.3330125808716,166.26552283763885,-122.06748974323273,6,253.78745412826538,133.98945534229279,-119.7979987859726,6,0.4947829401151796,0.5467032462857572,0.05192030617057753,3,0.7710407301360445,0.7619081143846608,-0.009132615751383702,4,0.7466924267619024,0.7641702135182566,0.017477786756354252,4,2.2255381427434875,2.3270274102865187,0.10148926754303117,4,2.5596954588838017,3.120498367926295,0.5608029090424937,2,30.125,23.875,-6.25,7,13.5,15.75,2.25,2
1WZE_B,t060,2,8,high,high,7.86630921363838,9.575399351120058,1.7090901374816778,2,16.75523205995559,16.998879373073567,0.24364731311798127,4,18.46701964378357,18.97769900798798,0.5106793642044067,3,18.501084089279175,18.97862410545349,0.4775400161743164,4,126.125,137.625,11.5,2,105.75,117.25,11.5,3,776.1785672307014,838.2791320681572,62.10056483745575,3,704.0007665753365,764.7053806185722,60.70461404323578,3,0.6425849834857011,0.6222300758932254,-0.020354907592475754,5,0.7659541080582395,0.7793194414731731,0.013365333414933595,2,0.7994860474369184,0.7870246871327262,-0.012461360304192204,6,2.9958298610332643,2.8914996702250484,-0.1043301908082166,5,3.368732943932114,3.287361349703536,-0.08137159422857809,5,35.625,37.75,2.125,2,24.0,24.375,0.375,2
